





 



综合,#genre#
CGTN-DOC,http://113.56.219.132:35455/ysptp/cgtndoc.m3u8
CGTN-EN,http://113.56.219.132:35455/ysptp/cgtnen.m3u8
CGTN-FR,http://113.56.219.132:35455/ysptp/cgtnfr.m3u8
CGTN-RU,http://113.56.219.132:35455/ysptp/cgtnru.m3u8
CGTN-SP,http://113.56.219.132:35455/ysptp/cgtnsp.m3u8


🛰｜卫视,#genre#

东南卫视,http://113.56.219.132:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://113.56.219.132:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
广西卫视,http://113.56.219.132:35455/itv/5000000011000031118.m3u8?cdn=bestzb
深圳卫视,http://113.56.219.132:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://113.56.219.132:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://113.56.219.132:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://113.56.219.132:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://113.56.219.132:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://113.56.219.132:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
北京卫视,http://113.56.219.132:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://113.56.219.132:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://113.56.219.132:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://113.56.219.132:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://113.56.219.132:35455/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://113.56.219.132:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://113.56.219.132:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://113.56.219.132:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
甘肃卫视,http://113.56.219.132:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://113.56.219.132:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://113.56.219.132:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://113.56.219.132:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
贵州卫视,http://113.56.219.132:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://113.56.219.132:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://113.56.219.132:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://113.56.219.132:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://113.56.219.132:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://113.56.219.132:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://113.56.219.132:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://113.56.219.132:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://113.56.219.132:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://113.56.219.132:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://113.56.219.132:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://113.56.219.132:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://113.56.219.132:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://113.56.219.132:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://113.56.219.132:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶,http://113.56.219.132:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://113.56.219.132:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://113.56.219.132:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://113.56.219.132:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://113.56.219.132:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://113.56.219.132:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://113.56.219.132:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://113.56.219.132:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://113.56.219.132:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://113.56.219.132:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://113.56.219.132:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://113.56.219.132:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://113.56.219.132:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
上海东方卫视,http://113.56.219.132:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
上海东方卫视,http://113.56.219.132:35455/itv/5000000004000014098.m3u8?cdn=bestzb
上海东方卫视,http://113.56.219.132:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://113.56.219.132:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://113.56.219.132:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://113.56.219.132:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://113.56.219.132:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://113.56.219.132:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://113.56.219.132:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://113.56.219.132:35455/itv/5000000011000031123.m3u8?cdn=bestzb
上海纪实人文,http://113.56.219.132:35455/itv/5000000004000010282.m3u8?cdn=bestzb
上海纪实人文,http://113.56.219.132:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
上海五星体育,http://113.56.219.132:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://113.56.219.132:35455/itv/5000000011000031110.m3u8?cdn=bestzb
四川卫视,http://113.56.219.132:35455/itv/5000000004000006119.m3u8?cdn=bestzb
云南卫视,http://113.56.219.132:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://113.56.219.132:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://113.56.219.132:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://113.56.219.132:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://113.56.219.132:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://113.56.219.132:35455/itv/1000000005000265017.m3u8?cdn=ystenlive



港澳,#genre#
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰资讯,https://dl.zhoujie218.top/new/fhx.php?id=fhzx
凤凰中文,https://dl.zhoujie218.top/new/fhx.php?id=fhzw
凤凰香港,https://dl.zhoujie218.top/new/fhx.php?id=fhhk
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
28 AI 智慧赛马,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
日本全天新闻,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠台(泰国),http://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv/now/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB星河台,http://aktv.top/AKTV/live/aktv/tvb/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
千禧经典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8?$官源
莲花卫视,http://php.jdshipin.com:8880/amlh.php
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612417/live.m3u8
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
中天新闻,p2p://142.54.189.229:3456/64de52a70006e20d01b906297b7d0f95.ts
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
无线新闻,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无线翡翠,http://cdn2.1689.us.kg/live/?id=gdfct
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist_w102.m3u8
无线生活,http://205.185.123.236:8899/tvb/Finance/stream.m3u8
无线星河,http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
无线星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,http://205.185.123.236:8899/astro/qianxi/stream.m3u8
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
Now爆谷,http://205.185.123.236:8899/1/baogutai/stream.m3u8
Now星影,http://205.185.123.236:8899/1/now/stream.m3u8
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
高清电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8

咪咕体育,#genre#
咪咕直播-1,http://111.13.111.242/000000001000/3000000001000005308/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-2,http://111.13.111.242/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-3,http://111.13.111.242/000000001000/3000000001000007218/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-4,http://111.13.111.242/000000001000/3000000001000008001/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-5,http://111.13.111.242/000000001000/3000000001000008176/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-6,http://111.13.111.242/000000001000/3000000001000008379/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-7,http://111.13.111.242/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-8,http://111.13.111.242/000000001000/3000000001000010948/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-9,http://111.13.111.242/000000001000/3000000001000026778/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-10,http://111.13.111.242/000000001000/3000000001000028638/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-11,http://111.13.111.242/000000001000/3000000001000031494/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-12,http://111.13.111.242/000000001000/3000000010000000097/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-13,http://111.13.111.242/000000001000/3000000010000002019/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-14,http://111.13.111.242/000000001000/3000000010000002032/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-15,http://111.13.111.242/000000001000/3000000010000002809/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-16,http://111.13.111.242/000000001000/3000000010000003915/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-17,http://111.13.111.242/000000001000/3000000010000004193/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-18,http://111.13.111.242/000000001000/3000000010000004464/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-19,http://111.13.111.242/000000001000/3000000010000005837/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-20,http://111.13.111.242/000000001000/3000000010000006077/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-21,http://111.13.111.242/000000001000/3000000010000006658/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-22,http://111.13.111.242/000000001000/3000000010000006944/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-23,http://111.13.111.242/000000001000/3000000010000007692/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-24,http://111.13.111.242/000000001000/3000000010000009788/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-25,http://111.13.111.242/000000001000/3000000010000010833/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-26,http://111.13.111.242/000000001000/3000000010000011112/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-27,http://111.13.111.242/000000001000/3000000010000011297/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-28,http://111.13.111.242/000000001000/3000000010000011518/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-29,http://111.13.111.242/000000001000/3000000010000011763/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-30,http://111.13.111.242/000000001000/3000000010000011873/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-31,http://111.13.111.242/000000001000/3000000010000012398/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-32,http://111.13.111.242/000000001000/3000000010000012450/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-33,http://111.13.111.242/000000001000/3000000010000012558/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-34,http://111.13.111.242/000000001000/3000000010000012616/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-35,http://111.13.111.242/000000001000/3000000010000015470/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-36,http://111.13.111.242/000000001000/3000000010000015560/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-37,http://111.13.111.242/000000001000/3000000010000017389/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-38,http://111.13.111.242/000000001000/3000000010000017678/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-39,http://111.13.111.242/000000001000/3000000010000017997/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-40,http://111.13.111.242/000000001000/3000000010000019380/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-41,http://111.13.111.242/000000001000/3000000010000019839/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-42,http://111.13.111.242/000000001000/3000000010000020168/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-43,http://111.13.111.242/000000001000/3000000010000021904/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-44,http://111.13.111.242/000000001000/3000000010000023434/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕直播-45,http://111.13.111.242/000000001000/3000000010000024205/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
